date,open,high,low,close,Volume ETH,Volume USDT,tradecount
2018-04-14 08-AM,511.96,514.99,506.95,508.21,4285.18,2189835.55,NULL
2018-04-14 07-AM,503.5,515,499.64,511.96,7393,3766244.26,NULL
2018-04-14 06-AM,499.67,504.08,499,503.5,2661.31,1334815.66,NULL
2018-04-14 05-AM,500,504.77,499,499.67,4176.82,2094727.89,NULL
2018-04-14 04-AM,508.24,508.24,498.57,500,4873.27,2454679.25,NULL
2018-04-14 03-AM,509.93,510.6,505,508.24,4734.83,2401814.37,NULL
2018-04-14 02-AM,508.18,513.33,503.4,509.93,9541.04,4861385.93,NULL
2018-04-14 01-AM,493.69,509.86,492.1,508.18,8206.84,4122509.62,NULL
2018-04-14 12-AM,495.11,498.11,486.26,493.69,8802.33,4320145.67,NULL
2018-04-13 11-PM,495.81,502.52,490.06,495.11,10144.28,5037662.15,NULL
2018-04-13 10-PM,489.71,497.53,483,495.81,13339.48,6486495.72,NULL
2018-04-13 09-PM,493.69,494.6,488.04,489.71,9230.76,4529844.76,NULL
2018-04-13 08-PM,510.99,511.22,488.01,493.69,12892.33,6413148.97,NULL
2018-04-13 07-PM,516.22,516.5,507.03,510.99,5452.46,2784526.24,NULL
2018-04-13 06-PM,514.1,516.49,510.11,516.22,3811.55,1957222.56,NULL
2018-04-13 05-PM,519.49,519.65,511.21,514.1,5699.07,2935973.42,NULL
2018-04-13 04-PM,516.89,519.8,514.26,519.49,5183.26,2679678.82,NULL
2018-04-13 03-PM,514.19,517,510,516.89,6627.34,3402697.68,NULL
2018-04-13 02-PM,518.92,520.1,506.69,514.19,11401.16,5863925.41,NULL
2018-04-13 01-PM,527.01,529,513.69,518.92,13418.37,6997151.72,NULL
2018-04-13 12-PM,517.8,530,514.4,527.01,12132.39,6344160.26,NULL
2018-04-13 11-AM,514.25,522.12,500.01,517.8,10424.3,5394594.47,NULL
2018-04-13 10-AM,510,516.5,505.21,514.97,12126.73,6198984.47,NULL
2018-04-13 09-AM,522.63,522.63,509.3,510,15880.69,8193288.25,NULL
2018-04-13 08-AM,511,525.81,509.03,522.63,19235.14,9967211.72,NULL
2018-04-13 07-AM,492.51,520,492.51,511,14808.78,7471793.66,NULL
2018-04-13 06-AM,484.55,494,484.38,492.51,4614.51,2268091.36,NULL
2018-04-13 05-AM,486.51,488.67,483,484.55,4625.22,2248661.05,NULL
2018-04-13 04-AM,490.1,491.75,486.51,486.51,4225.97,2066633.06,NULL
2018-04-13 03-AM,494,499.24,490.06,490.22,6003.22,2962937.88,NULL
2018-04-13 02-AM,484.8,494.89,484.36,494,8717.28,4279458.33,NULL
2018-04-13 01-AM,491.98,491.98,480.22,484.8,7948.64,3869694.47,NULL
2018-04-13 12-AM,495.67,503.2,482.8,491.98,15137.7,7468897.26,NULL
2018-04-12 11-PM,492.63,499,486.4,495.67,14223.68,7009296.05,NULL
2018-04-12 10-PM,485.4,492.73,472.16,492,12571.88,6068664.85,NULL
2018-04-12 09-PM,467.48,488.9,467.09,485.4,13459.4,6463351.92,NULL
2018-04-12 08-PM,464.1,468,463,467.48,4281.06,1995285.01,NULL
2018-04-12 07-PM,459.12,467.6,458.43,464.1,4035.64,1869181.78,NULL
2018-04-12 06-PM,462,463,456,459.12,3972.24,1825522.83,NULL
2018-04-12 05-PM,456.48,465.17,456.05,462,8035.17,3710190.93,NULL
2018-04-12 04-PM,464.51,469.9,451.15,456.48,10137.2,4652043.22,NULL
2018-04-12 03-PM,466.8,467,462.56,464.51,6916.07,3214806.86,NULL
2018-04-12 02-PM,462.8,470.44,462,466.8,12126.55,5657233.9,NULL
2018-04-12 01-PM,462.75,464.85,458.21,462.8,10049.06,4645258.7,NULL
2018-04-12 12-PM,460.32,465,453.98,462.75,20615.09,9473653.22,NULL
