Open,High,Low,Close,Volume USDT
705,728,701.73,720.22,13365305.92
719.99,722.16,678.11,705,14103991.5
742.36,754,696.18,719.99,17786998.13
728.33,760.09,699,741.81,22340992.68
725,740,677.84,728.33,21828968.61
660.26,729,658.37,725,22464718.48
633.96,675,620,660.26,14836506.39
634.69,639.89,600.01,633.96,13583090.82
643.73,668,618.77,634.69,15249019.42
587,679.99,585.28,643.73,21548318.07
579.94,599,576.12,587,12376818.31
596,608,572.1,579.94,13836662.34
626,626.79,580.68,596,18301781.8
587.98,644.54,570.1,626,24705112.25
623.66,627.32,586,587.98,15568641.5
635.01,642.99,611.26,622.59,14550736.48
640.02,669.17,632.55,635.01,13729019.32
703.29,703.95,637,640.02,15408588.53
697.92,724,690.11,703.29,10203298.04
686.89,712.6,671,697.92,12079953.05
716.95,748,685,686.89,13569309.38
717.11,741.9,681,716.95,17665977.33
645.01,765.2,635.31,717.11,27844625.69
682,689,634.94,645.01,18039551.28
701.26,719.23,681.09,682,16338210.17
723,726.74,701.01,701.26,9746293.32
731.41,749.41,714,723,8688556.56
723,760.08,707,731.41,15627725.93
770.04,771.46,720,723,15131066.02
774.99,783.46,765.1,770.04,4895899.61
764.43,789.99,761.36,774.99,7900181.75
780.71,793.26,761.5,764.43,9660146.78
805.1,812,779.07,780.71,5830348.96
800,827.73,791.22,805.1,6887032.36
819.96,823.51,796.5,800,8118844.99
829.91,837.56,810.2,819.96,5193299.63
840.28,861,826,829.91,3988488.62
850.85,862.47,839.01,840.28,4016103.13
835.52,854.15,821.53,850.85,5057890.96
818.68,842,812.3,835.52,6036246.03
828.03,834.45,802.11,819.99,5878062.52
838.85,838.85,811.18,828.03,8185122.36
823.56,843.99,821,838.85,4763500.33
855,856,820.92,823.56,5035261.24
812.05,859.87,809,855,6813880.33
837.98,840.75,808,812.05,8260814.92
841.06,850.1,789,837.98,20313718.67
858.9,860.37,837.32,841.06,7555454.97
872.24,883.35,854.33,858.9,6295892.26
874.99,887,865.5,873.78,4385885.68
859,875.63,850,875.01,7895805.28
880,889.52,853.06,859,8616864.08
881.97,905,880,880,5069493.36
898.11,900,867.78,881.97,7348292.76
886.67,900,856,898.11,12233345.72
906.44,922.99,885.03,886.67,6174614.11
905.05,910,892.5,906.44,6947727.51
938.9,938.9,900,905.05,9299254.47
953.33,955.52,935,938.9,3333608.64
964.99,968,950,953.33,2603863.96
963.02,972,963.01,964.99,3043472.01
952.34,964.29,950.21,963.02,2291604.93
964.81,967.11,950.97,952.34,2833012.5
953.16,969.99,953.16,964.81,3500830.88
936.02,955.98,936.01,953.16,2777636.21
952,959.99,936,937.09,3201692.22
971,975,950.88,952,4104779.27
959.7,972.26,951,971,3158767.53
959.02,969.38,955,959.7,1988269.23
973.89,974.18,955,959.02,3703734.24
983.53,990,970,973.89,4486249.09
986.58,987,972.33,983.53,3246515.89
968,988,956.81,986.58,3794324.63
979.9,984.53,960,968,5304239.71
958.69,981.59,941.8,979.9,7673178.48
987,998,947.01,958.69,11264544.83
980.97,994.99,970.72,987,8177666.73
964.35,986.66,952.58,980.97,7096112.13
971.44,974.85,949.89,964.35,6508764.82
944,972.97,940.01,971.44,5531380.05
947.99,952,926.6,944,4599201.93
947,961.35,937.35,947.99,6245437.52
924.59,954,905.96,947,7451596.15
930,936.78,915,924.59,5079748.42
891.04,930.35,886.4,930,6369303.66
883.65,898.41,870.5,891.04,4265768.77
864,898.41,851.22,883.65,7158991.87
896.24,898.02,851,864,12227063.77
903.51,912.98,896.11,896.24,3200255.87
923.27,924.97,894,903.51,5013800.47
922.3,930,908.82,923.27,4358740.28
914.97,938.68,910.59,922.3,6643353.97
893.81,915,883,914.97,5640404.82
898.25,913,891.09,893.81,4960571.99
900,925.01,890.5,898.25,7042581.33
890,914.29,871,900,9675236.57
